,loss,accuracy,auc,square_hinge,true_positives,true_negatives,val_loss,val_accuracy,val_auc,val_square_hinge,val_true_positives,val_true_negatives,lr
0,0.5390892624855042,0.7287193536758423,0.8734502792358398,0.5638125538825989,2577.0,1224.0,9.141091346740723,0.3743315637111664,0.5,0.9424718618392944,0.0,70.0,0.0010000000474974513
1,0.3893367350101471,0.7910276055335999,0.9130323529243469,0.49343404173851013,2861.0,1265.0,7.331070423126221,0.3743315637111664,0.47155070304870605,0.974428653717041,0.0,70.0,0.0010000000474974513
2,0.32699456810951233,0.8295629024505615,0.9325371384620667,0.45409637689590454,3040.0,1287.0,4.05762243270874,0.625668466091156,0.5,1.394303798675537,117.0,0.0,0.0010000000474974513
3,0.32004788517951965,0.839532196521759,0.9329566359519958,0.44330307841300964,3095.0,1284.0,1.8317911624908447,0.625668466091156,0.5,1.406141757965088,117.0,0.0,0.0010000000474974513
4,0.28211525082588196,0.8502684235572815,0.9433623552322388,0.4265105426311493,3143.0,1292.0,1.3321139812469482,0.625668466091156,0.5357142686843872,1.4195061922073364,117.0,0.0,0.0010000000474974513
5,0.2734769284725189,0.8659892678260803,0.9498318433761597,0.41336873173713684,3228.0,1289.0,1.0960187911987305,0.625668466091156,0.9239926338195801,1.3097026348114014,117.0,0.0,0.0010000000474974513
6,0.2570125460624695,0.8613880276679993,0.9570407867431641,0.408288836479187,3196.0,1297.0,0.9495359063148499,0.7540106773376465,0.8707570433616638,1.0587466955184937,117.0,24.0,0.0010000000474974513
7,0.23533861339092255,0.8822852969169617,0.9622240662574768,0.3926633596420288,3301.0,1301.0,21.64290428161621,0.625668466091156,0.9278388619422913,1.2932543754577637,117.0,0.0,0.0010000000474974513
8,0.2241581827402115,0.8884202241897583,0.9666537642478943,0.38379308581352234,3330.0,1304.0,1.3246639966964722,0.625668466091156,0.6571428775787354,1.4371706247329712,117.0,0.0,0.0010000000474974513
9,0.18667328357696533,0.9087423086166382,0.9758549928665161,0.36192306876182556,3432.0,1308.0,0.9138906598091125,0.6363636255264282,0.9525641202926636,1.3192843198776245,117.0,2.0,0.0005000000237487257
10,0.16799388825893402,0.9194785356521606,0.980992317199707,0.3518994450569153,3485.0,1311.0,0.38122308254241943,0.8716577291488647,0.9415750503540039,0.7115602493286133,110.0,53.0,0.0005000000237487257
11,0.15724582970142365,0.9294478297233582,0.9814718961715698,0.3421304523944855,3541.0,1307.0,0.2375747412443161,0.8983957171440125,0.9930402636528015,0.6495683789253235,117.0,51.0,0.0005000000237487257
12,0.15643620491027832,0.9309815764427185,0.979611337184906,0.34119972586631775,3545.0,1311.0,0.30460450053215027,0.8770053386688232,0.9853479862213135,0.7592017650604248,116.0,48.0,0.0005000000237487257
13,0.15239761769771576,0.9263803958892822,0.9842052459716797,0.3410038352012634,3523.0,1309.0,0.2085915356874466,0.9197860956192017,0.9910256266593933,0.4742719233036041,104.0,68.0,0.0005000000237487257
14,0.13525737822055817,0.9413343667984009,0.9848586916923523,0.3283993601799011,3596.0,1314.0,0.7860451936721802,0.7807486653327942,0.9211233258247375,0.583621084690094,76.0,70.0,0.0005000000237487257
15,0.14090467989444733,0.9401840567588806,0.9846732020378113,0.33156347274780273,3591.0,1313.0,0.3451325595378876,0.8609625697135925,0.9872405529022217,0.523308515548706,91.0,70.0,0.0005000000237487257
16,0.12027153372764587,0.9499616622924805,0.9889852404594421,0.321816623210907,3641.0,1314.0,0.43515878915786743,0.8128342032432556,0.9788767099380493,0.8824347257614136,117.0,35.0,0.0002500000118743628
17,0.11522441357374191,0.9513036608695984,0.9905849099159241,0.3184930384159088,3643.0,1319.0,0.790371835231781,0.6844919919967651,0.968437135219574,0.6155908107757568,58.0,70.0,0.0002500000118743628
18,0.10430169850587845,0.95820552110672,0.992428719997406,0.31173816323280334,3681.0,1317.0,0.37044990062713623,0.8235294222831726,0.9996337294578552,0.8304653763771057,117.0,37.0,0.0001250000059371814
